회차,등위,상호,구분,주소,구글맵링크
268,1,GS25(창원서광),수동,경남 창원시 중앙동  1004 서광오피스텔,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%8F%99%20%201004%20%EC%84%9C%EA%B4%91%EC%98%A4%ED%94%BC%EC%8A%A4%ED%85%94
269,1,버스카드판매대,자동,서울 관악구 신림로 145-2,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EC%8B%A0%EB%A6%BC%EB%A1%9C%20145-2
269,1,스파,자동,서울 노원구 동일로 1493 주공10단지종합상가111,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%201493%20%EC%A3%BC%EA%B3%B510%EB%8B%A8%EC%A7%80%EC%A2%85%ED%95%A9%EC%83%81%EA%B0%80111
269,1,제일통신,자동,서울 노원구 중계동  591 대호프라자 1층106,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EC%A4%91%EA%B3%84%EB%8F%99%20%20591%20%EB%8C%80%ED%98%B8%ED%94%84%EB%9D%BC%EC%9E%90%201%EC%B8%B5106
269,1,가판,자동,서울 마포구 도화2동  169 고려2 앞가판,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%84%ED%99%942%EB%8F%99%20%20169%20%EA%B3%A0%EB%A0%A42%20%EC%95%9E%EA%B0%80%ED%8C%90
269,1,서울수퍼,자동,서울 중랑구 동일로 809-1,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%20809-1
270,1,복권방(천하명당),자동,서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%ED%96%89%EB%8B%B9%EB%A1%9C%2075%20%ED%96%89%EB%8B%B9%EB%8F%99%EB%8C%80%EB%A6%BC%EC%95%84%ED%8C%8C%ED%8A%B8%20%EB%A6%AC%EB%B9%99%ED%94%84%EB%9D%BC%EC%9E%90%EB%8F%99%20%EC%A7%80%ED%95%982%EC%B8%B5%20%EB%B9%84202
270,1,GS25(명륜아남),자동,서울 종로구 명륜1가  46-18,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EB%AA%85%EB%A5%9C1%EA%B0%80%20%2046-18
270,1,행운복권,자동,"인천 부평구 배곶로 24 지1층 비03호(십정동, 이즈라이프아파트)",https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%B6%80%ED%8F%89%EA%B5%AC%20%EB%B0%B0%EA%B3%B6%EB%A1%9C%2024%20%EC%A7%801%EC%B8%B5%20%EB%B9%8403%ED%98%B8%28%EC%8B%AD%EC%A0%95%EB%8F%99%2C%20%EC%9D%B4%EC%A6%88%EB%9D%BC%EC%9D%B4%ED%94%84%EC%95%84%ED%8C%8C%ED%8A%B8%29
270,1,복권명당,자동,충남 공주시 번영1로 41,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EA%B3%B5%EC%A3%BC%EC%8B%9C%20%EB%B2%88%EC%98%811%EB%A1%9C%2041
270,1,훼미리마트월영마을점,수동,경남 창원시 마산합포구 월영남로 21,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%20%EC%9B%94%EC%98%81%EB%82%A8%EB%A1%9C%2021
271,1,팬레코드,수동,부산 남구 수영로 253,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%82%A8%EA%B5%AC%20%EC%88%98%EC%98%81%EB%A1%9C%20253
271,1,대원슈퍼마켓,수동,부산 수영구 수영로 524,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%88%98%EC%98%81%EA%B5%AC%20%EC%88%98%EC%98%81%EB%A1%9C%20524
271,1,선마트로또점,자동,대구 달서구 월성동  275-2    105,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%9C%EA%B5%AC%20%EC%9B%94%EC%84%B1%EB%8F%99%20%20275-2%20%20%20%20105
271,1,GS25(안산팔곡),수동,경기 안산시 상록구 본오동 본오동 741-5 1층 101,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%82%B0%EC%8B%9C%20%EC%83%81%EB%A1%9D%EA%B5%AC%20%EB%B3%B8%EC%98%A4%EB%8F%99%20%EB%B3%B8%EC%98%A4%EB%8F%99%20741-5%201%EC%B8%B5%20101
271,1,복권나라,자동,충북 청주시 상당구 율량동 율량동 882-1,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%EC%83%81%EB%8B%B9%EA%B5%AC%20%EC%9C%A8%EB%9F%89%EB%8F%99%20%EC%9C%A8%EB%9F%89%EB%8F%99%20882-1
271,1,로터리편의마트,자동,경북 포항시 북구 서동로 85 육거리,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%ED%8F%AC%ED%95%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%84%9C%EB%8F%99%EB%A1%9C%2085%20%EC%9C%A1%EA%B1%B0%EB%A6%AC
272,1,Yes할인마트,자동,서울 강남구 개포로 202 1층 이마트 24,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%9C%ED%8F%AC%EB%A1%9C%20202%201%EC%B8%B5%20%EC%9D%B4%EB%A7%88%ED%8A%B8%2024
272,1,대창,자동,서울 강동구 상암로 211 1층,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%95%94%EB%A1%9C%20211%201%EC%B8%B5
272,1,오거리마트,수동,서울 은평구 응암로14길 6,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%9D%91%EC%95%94%EB%A1%9C14%EA%B8%B8%206
272,1,훼밀리복권,자동,부산 금정구 부곡동  225-55,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EA%B8%88%EC%A0%95%EA%B5%AC%20%EB%B6%80%EA%B3%A1%EB%8F%99%20%20225-55
272,1,청솔서점,자동,부산 사하구 하신번영로 195,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%ED%95%98%EC%8B%A0%EB%B2%88%EC%98%81%EB%A1%9C%20195
272,1,승리 로또당리점,수동,부산 사하구 당리동  324-19,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%EB%8B%B9%EB%A6%AC%EB%8F%99%20%20324-19
272,1,복권명당,자동,대구 동구 효동로 45,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8F%99%EA%B5%AC%20%ED%9A%A8%EB%8F%99%EB%A1%9C%2045
272,1,대박복권방,수동,울산 동구 진성8길 133,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EB%8F%99%EA%B5%AC%20%EC%A7%84%EC%84%B18%EA%B8%B8%20133
272,1,로또판매업,수동,경남 양산시 북정로 31 CU편의점 내,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%96%91%EC%82%B0%EC%8B%9C%20%EB%B6%81%EC%A0%95%EB%A1%9C%2031%20CU%ED%8E%B8%EC%9D%98%EC%A0%90%20%EB%82%B4
273,1,에스에프마트,수동,울산 북구 동대17길 2,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EB%B6%81%EA%B5%AC%20%EB%8F%99%EB%8C%8017%EA%B8%B8%202
273,1,행운복권마트,자동,경기 포천시 신읍동  58-16,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8F%AC%EC%B2%9C%EC%8B%9C%20%EC%8B%A0%EC%9D%8D%EB%8F%99%20%2058-16
273,1,삼성로또복권방슈퍼,자동,전북 남원시 네마실1길 10-5,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EB%82%A8%EC%9B%90%EC%8B%9C%20%EB%84%A4%EB%A7%88%EC%8B%A41%EA%B8%B8%2010-5
274,1,영훈슈퍼마켓,자동,서울 도봉구 덕릉로 222,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EB%8D%95%EB%A6%89%EB%A1%9C%20222
274,1,로또,자동,서울 중구 신당동  133-14,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A4%91%EA%B5%AC%20%EC%8B%A0%EB%8B%B9%EB%8F%99%20%20133-14
274,1,오렌지마트,자동,부산 사하구 장림번영로 96 105동 101호,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EC%82%AC%ED%95%98%EA%B5%AC%20%EC%9E%A5%EB%A6%BC%EB%B2%88%EC%98%81%EB%A1%9C%2096%20105%EB%8F%99%20101%ED%98%B8
274,1,북마산복권전문점,수동,경남 창원시 마산합포구 북성로 98,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%B0%BD%EC%9B%90%EC%8B%9C%20%EB%A7%88%EC%82%B0%ED%95%A9%ED%8F%AC%EA%B5%AC%20%EB%B6%81%EC%84%B1%EB%A1%9C%2098
275,1,혹시나도,자동,충북 음성군 감곡면 왕장리 왕장리 521-9,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%9D%8C%EC%84%B1%EA%B5%B0%20%EA%B0%90%EA%B3%A1%EB%A9%B4%20%EC%99%95%EC%9E%A5%EB%A6%AC%20%EC%99%95%EC%9E%A5%EB%A6%AC%20521-9
276,1,지원물산,자동,서울 노원구 공릉로 108,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EA%B3%B5%EB%A6%89%EB%A1%9C%20108
276,1,불광가판점,자동,서울 은평구 불광1동  281-175,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EB%B6%88%EA%B4%911%EB%8F%99%20%20281-175
276,1,대박찬스,수동,서울 중랑구 면목로74길 40,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A4%91%EB%9E%91%EA%B5%AC%20%EB%A9%B4%EB%AA%A9%EB%A1%9C74%EA%B8%B8%2040
277,1,가로공원충전소,자동,서울 양천구 신월1동  146-1,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%96%91%EC%B2%9C%EA%B5%AC%20%EC%8B%A0%EC%9B%941%EB%8F%99%20%20146-1
277,1,행운복권방,자동,충남 예산군 예산읍  예산리    178,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%98%88%EC%82%B0%EA%B5%B0%20%EC%98%88%EC%82%B0%EC%9D%8D%20%20%EC%98%88%EC%82%B0%EB%A6%AC%20%20%20%20178
277,1,로또판매점,자동,경남 진주시 신안동  705-4 주공3차아파트상가 101호,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%A7%84%EC%A3%BC%EC%8B%9C%20%EC%8B%A0%EC%95%88%EB%8F%99%20%20705-4%20%EC%A3%BC%EA%B3%B53%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%EC%83%81%EA%B0%80%20101%ED%98%B8
278,1,로또복권판매,자동,서울 강북구 수유동  173-14,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%B6%81%EA%B5%AC%20%EC%88%98%EC%9C%A0%EB%8F%99%20%20173-14
278,1,플러스 복권,자동,대전 서구 대덕대로168번길 82 편의점 내,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%EB%8C%80%EB%8D%95%EB%8C%80%EB%A1%9C168%EB%B2%88%EA%B8%B8%2082%20%ED%8E%B8%EC%9D%98%EC%A0%90%20%EB%82%B4
278,1,천하제일복권명당,자동,대전 중구 태평동  377-4번지,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%A4%91%EA%B5%AC%20%ED%83%9C%ED%8F%89%EB%8F%99%20%20377-4%EB%B2%88%EC%A7%80
279,1,복권나라,자동,서울 강서구 등촌1동  654-44,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EC%84%9C%EA%B5%AC%20%EB%93%B1%EC%B4%8C1%EB%8F%99%20%20654-44
279,1,영광정보통신,자동,서울 성북구 화랑로 92 1층 우측1호,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%ED%99%94%EB%9E%91%EB%A1%9C%2092%201%EC%B8%B5%20%EC%9A%B0%EC%B8%A11%ED%98%B8
279,1,원당역복권방,수동,경기 고양시 덕양구 성사동 410-17,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%EC%84%B1%EC%82%AC%EB%8F%99%20410-17
279,1,천복당,자동,경기 오산시 대원로 52,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%98%A4%EC%82%B0%EC%8B%9C%20%EB%8C%80%EC%9B%90%EB%A1%9C%2052
279,1,찬스복권방,자동,전북 전주시 덕진구 태진로 120,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%B6%81%20%EC%A0%84%EC%A3%BC%EC%8B%9C%20%EB%8D%95%EC%A7%84%EA%B5%AC%20%ED%83%9C%EC%A7%84%EB%A1%9C%20120
280,1,현대,수동,서울 도봉구 도봉로110길 74,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%8F%84%EB%B4%89%EA%B5%AC%20%EB%8F%84%EB%B4%89%EB%A1%9C110%EA%B8%B8%2074
280,1,서재강변로또,자동,대구 달성군 서재로 172,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%B1%EA%B5%B0%20%EC%84%9C%EC%9E%AC%EB%A1%9C%20172
280,1,풍년로또,자동,인천 남동구 구월4동  1265-10,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%82%A8%EB%8F%99%EA%B5%AC%20%EA%B5%AC%EC%9B%944%EB%8F%99%20%201265-10
280,1,로또명당점,자동,대전 서구 관저로129번길 3,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%EA%B4%80%EC%A0%80%EB%A1%9C129%EB%B2%88%EA%B8%B8%203
280,1,로또명당매화점,수동,충북 옥천군 옥천읍 매화리 매화리 36-6,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%98%A5%EC%B2%9C%EA%B5%B0%20%EC%98%A5%EC%B2%9C%EC%9D%8D%20%EB%A7%A4%ED%99%94%EB%A6%AC%20%EB%A7%A4%ED%99%94%EB%A6%AC%2036-6
